Public_MAG_ID	public_fasta_filename	genome_file	AT_BatchID	user_genome	Domain	phylum	class	order	family	genus	species	no_species_assignment	Completeness	Contamination	Strain_heterogeneity	Size	N50
RESPICAT_MAG_000023	RESPICAT_MAG_000023.fna	RESPICAT_LRT_B06_Multi_batch_SRR8482115_MAG51.fasta	LRT_B06_Multi_batch	MAG51	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Neisseria	Neisseria perflava	FALSE	99.92	0	0	2255062	81527
RESPICAT_MAG_000024	RESPICAT_MAG_000024.fna	RESPICAT_LRT_B06_Multi_batch_SRR8482119_MAG53.fasta	LRT_B06_Multi_batch	MAG53	Bacteria	Bacillota_C	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella nakazawae	FALSE	100	0.6	0	2143849	43114
RESPICAT_MAG_000025	RESPICAT_MAG_000025.fna	RESPICAT_LRT_B06_Multi_batch_SRR8482119_MAG54.fasta	LRT_B06_Multi_batch	MAG54	Bacteria	Bacillota	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Bulleidia	Bulleidia sp900554555	FALSE	100	0.48	0	1889858	39280
RESPICAT_MAG_000026	RESPICAT_MAG_000026.fna	RESPICAT_LRT_B06_Multi_batch_SRR8482120_MAG55.fasta	LRT_B06_Multi_batch	MAG55	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Actinomycetaceae	Pauljensenia	Pauljensenia sp019425105	FALSE	99.53	0.47	0	2383000	32928
RESPICAT_MAG_000027	RESPICAT_MAG_000027.fna	RESPICAT_LRT_B06_Multi_batch_SRR8482143_MAG57.fasta	LRT_B06_Multi_batch	MAG57	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus parasanguinis	FALSE	90.33	1.97	42.11	1878708	19457
RESPICAT_MAG_000028	RESPICAT_MAG_000028.fna	RESPICAT_LRT_B06_Multi_batch_SRR8482163_MAG45.fasta	LRT_B06_Multi_batch	MAG45	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus parasanguinis_E	FALSE	100	2.51	100	2093588	35534
RESPICAT_MAG_000029	RESPICAT_MAG_000029.fna	RESPICAT_LRT_B06_Multi_batch_SRR8731662_MAG42.fasta	LRT_B06_Multi_batch	MAG42	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus	FALSE	99.51	0.08	0	2884666	58394
RESPICAT_MAG_000030	RESPICAT_MAG_000030.fna	RESPICAT_LRT_B06_Multi_batch_SRR8731670_MAG43.fasta	LRT_B06_Multi_batch	MAG43	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella histicola	FALSE	99.32	0.17	0	2836034	87314
RESPICAT_MAG_000031	RESPICAT_MAG_000031.fna	RESPICAT_LRT_B06_Multi_batch_SRR8731670_MAG48.fasta	LRT_B06_Multi_batch	MAG48	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus gordonii	FALSE	95.51	1.45	50	2190078	76475
RESPICAT_MAG_000032	RESPICAT_MAG_000032.fna	RESPICAT_RT_B07_Multi_batch_SRR13340890_MAG002.fasta	RT_B07_Multi_batch	MAG002	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella disiens	FALSE	97.3	7.76	25	3033887	36434
RESPICAT_MAG_000033	RESPICAT_MAG_000033.fna	RESPICAT_RT_B07_Multi_batch_SRR13340890_MAG009.fasta	RT_B07_Multi_batch	MAG009	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella marshii	FALSE	98.82	0.34	0	2204192	44227
RESPICAT_MAG_000034	RESPICAT_MAG_000034.fna	RESPICAT_RT_B07_Multi_batch_SRR13340891_MAG012.fasta	RT_B07_Multi_batch	MAG012	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA4285	UBA4285 sp900542465	FALSE	92.62	3.69	9.09	1687132	95904
RESPICAT_MAG_000035	RESPICAT_MAG_000035.fna	RESPICAT_RT_B07_Multi_batch_SRR13340891_MAG017.fasta	RT_B07_Multi_batch	MAG017	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus constellatus	FALSE	99	0	0	1925515	212679
RESPICAT_MAG_000036	RESPICAT_MAG_000036.fna	RESPICAT_RT_B07_Multi_batch_SRR13340891_MAG018.fasta	RT_B07_Multi_batch	MAG018	Bacteria	Bacillota_A	Clostridia	Tissierellales	Peptoniphilaceae	Parvimonas	Parvimonas sp000214475	FALSE	98.48	0.61	0	1480333	335414
RESPICAT_MAG_000037	RESPICAT_MAG_000037.fna	RESPICAT_RT_B07_Multi_batch_SRR13340891_MAG019.fasta	RT_B07_Multi_batch	MAG019	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Actinomycetaceae	Pauljensenia	Pauljensenia sp916438945	FALSE	99.41	4.27	91.67	2495294	82100
RESPICAT_MAG_000038	RESPICAT_MAG_000038.fna	RESPICAT_RT_B07_Multi_batch_SRR13340901_MAG025.fasta	RT_B07_Multi_batch	MAG025	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium vaginale_E	FALSE	99.39	0	0	1483980	112508
RESPICAT_MAG_000039	RESPICAT_MAG_000039.fna	RESPICAT_RT_B07_Multi_batch_SRR13340901_MAG029.fasta	RT_B07_Multi_batch	MAG029	Bacteria	Bacillota	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Bulleidia	Bulleidia sp015256775	FALSE	99.05	0	0	1818757	83737
RESPICAT_MAG_000040	RESPICAT_MAG_000040.fna	RESPICAT_RT_B07_Multi_batch_SRR13340901_MAG032.fasta	RT_B07_Multi_batch	MAG032	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Catonella	NA	TRUE	98.21	0	0	2844584	294061
RESPICAT_MAG_000041	RESPICAT_MAG_000041.fna	RESPICAT_RT_B07_Multi_batch_SRR13340908_MAG037.fasta	RT_B07_Multi_batch	MAG037	Bacteria	Actinomycetota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Corynebacterium	Corynebacterium sp900539985	FALSE	99.78	0	0	2535953	177237
RESPICAT_MAG_000042	RESPICAT_MAG_000042.fna	RESPICAT_RT_B07_Multi_batch_SRR13340908_MAG038.fasta	RT_B07_Multi_batch	MAG038	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Lancefieldella	NA	TRUE	88.58	1.21	0	1377730	20013
RESPICAT_MAG_000043	RESPICAT_MAG_000043.fna	RESPICAT_RT_B07_Multi_batch_SRR13340908_MAG041.fasta	RT_B07_Multi_batch	MAG041	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Actinomycetaceae	Pauljensenia	NA	TRUE	100	0.47	0	2292270	97033
RESPICAT_MAG_000044	RESPICAT_MAG_000044.fna	RESPICAT_RT_B07_Multi_batch_SRR13340910_MAG045.fasta	RT_B07_Multi_batch	MAG045	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Actinomycetaceae	Pauljensenia	Pauljensenia odontolytica_B	FALSE	100	2.37	14.29	2384449	142467
RESPICAT_MAG_000045	RESPICAT_MAG_000045.fna	RESPICAT_RT_B07_Multi_batch_SRR13340910_MAG048.fasta	RT_B07_Multi_batch	MAG048	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Lancefieldella	NA	TRUE	100	0	0	1497791	89311
RESPICAT_MAG_000046	RESPICAT_MAG_000046.fna	RESPICAT_RT_B07_Multi_batch_SRR13340910_MAG050.fasta	RT_B07_Multi_batch	MAG050	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp013333285	FALSE	98.03	0.84	0	2508745	132579
RESPICAT_MAG_000047	RESPICAT_MAG_000047.fna	RESPICAT_RT_B07_Multi_batch_SRR13340910_MAG051.fasta	RT_B07_Multi_batch	MAG051	Bacteria	Bacillota_A	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Peptostreptococcus	Peptostreptococcus anaerobius	FALSE	99.3	0	0	1829635	89840
RESPICAT_MAG_000048	RESPICAT_MAG_000048.fna	RESPICAT_RT_B07_Multi_batch_SRR13340917_MAG054.fasta	RT_B07_Multi_batch	MAG054	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella jejuni	FALSE	96.92	1.24	50	4448383	24833
RESPICAT_MAG_000049	RESPICAT_MAG_000049.fna	RESPICAT_RT_B07_Multi_batch_SRR13340917_MAG058.fasta	RT_B07_Multi_batch	MAG058	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus massiliensis	FALSE	89.66	0.6	50	1656034	13262
RESPICAT_MAG_000050	RESPICAT_MAG_000050.fna	RESPICAT_RT_B07_Multi_batch_SRR13340918_MAG062.fasta	RT_B07_Multi_batch	MAG062	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp000467895	FALSE	96.62	0	0	2849696	85228
RESPICAT_MAG_000051	RESPICAT_MAG_000051.fna	RESPICAT_RT_B07_Multi_batch_SRR13340928_MAG064.fasta	RT_B07_Multi_batch	MAG064	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus sp903645285	FALSE	96.76	0.6	0	1985489	52329
RESPICAT_MAG_000052	RESPICAT_MAG_000052.fna	RESPICAT_RT_B07_Multi_batch_SRR13340933_MAG066.fasta	RT_B07_Multi_batch	MAG066	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella bivia	FALSE	98.99	2.03	0	2511047	41878
RESPICAT_MAG_000053	RESPICAT_MAG_000053.fna	RESPICAT_RT_B07_Multi_batch_SRR13340933_MAG068.fasta	RT_B07_Multi_batch	MAG068	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium_C	Fusobacterium_C gonidiaformans	FALSE	98.88	0	0	1609244	21713
RESPICAT_MAG_000054	RESPICAT_MAG_000054.fna	RESPICAT_RT_B07_Multi_batch_SRR13340933_MAG069.fasta	RT_B07_Multi_batch	MAG069	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella timonensis	FALSE	93.21	0.71	0	2281778	53975
RESPICAT_MAG_000055	RESPICAT_MAG_000055.fna	RESPICAT_RT_B07_Multi_batch_SRR13340936_MAG026.fasta	RT_B07_Multi_batch	MAG026	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Actinomycetaceae	Pauljensenia	Pauljensenia sp000185285	FALSE	100	0.47	0	2327042	112940
RESPICAT_MAG_000056	RESPICAT_MAG_000056.fna	RESPICAT_RT_B07_Multi_batch_SRR13340936_MAG070.fasta	RT_B07_Multi_batch	MAG070	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	Pediococcus acidilactici_A	FALSE	95.68	1.19	0	1803352	50164
RESPICAT_MAG_000057	RESPICAT_MAG_000057.fna	RESPICAT_RT_B07_Multi_batch_SRR13340936_MAG071.fasta	RT_B07_Multi_batch	MAG071	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Oribacterium	Oribacterium sp015258095	FALSE	99.36	0	0	2069589	387488
RESPICAT_MAG_000058	RESPICAT_MAG_000058.fna	RESPICAT_RT_B07_Multi_batch_SRR13340936_MAG072.fasta	RT_B07_Multi_batch	MAG072	Bacteria	Bacillota_A	Clostridia	Tissierellales	Peptoniphilaceae	Peptoniphilus_A	Peptoniphilus_A gorbachii	FALSE	99.3	0	0	2090858	152969
RESPICAT_MAG_000059	RESPICAT_MAG_000059.fna	RESPICAT_RT_B07_Multi_batch_SRR13340936_MAG075.fasta	RT_B07_Multi_batch	MAG075	Bacteria	Bacillota	Bacilli	Staphylococcales	Gemellaceae	Gemella	NA	TRUE	98.56	0	0	1813976	79281
RESPICAT_MAG_000060	RESPICAT_MAG_000060.fna	RESPICAT_RT_B07_Multi_batch_SRR13340936_MAG076.fasta	RT_B07_Multi_batch	MAG076	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Oribacterium	Oribacterium sp000160135	FALSE	96.82	0.02	0	2246288	22626
RESPICAT_MAG_000061	RESPICAT_MAG_000061.fna	RESPICAT_RT_B07_Multi_batch_SRR13340936_MAG079.fasta	RT_B07_Multi_batch	MAG079	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Alloscardovia	Alloscardovia omnicolens	FALSE	100	0	0	1865171	178604
RESPICAT_MAG_000062	RESPICAT_MAG_000062.fna	RESPICAT_RT_B07_Multi_batch_SRR13340940_MAG083.fasta	RT_B07_Multi_batch	MAG083	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus mitis_H	FALSE	98.82	2.37	53.85	2503936	61495
RESPICAT_MAG_000063	RESPICAT_MAG_000063.fna	RESPICAT_RT_B07_Multi_batch_SRR13340954_MAG027.fasta	RT_B07_Multi_batch	MAG027	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Alloprevotella	Alloprevotella sp916438195	FALSE	97.66	0	0	2359197	62438
RESPICAT_MAG_000064	RESPICAT_MAG_000064.fna	RESPICAT_RT_B07_Multi_batch_SRR13340954_MAG078.fasta	RT_B07_Multi_batch	MAG078	Bacteria	Bacillota_A	Clostridia	Tissierellales	Peptoniphilaceae	Anaerococcus	Anaerococcus octavius	FALSE	99.39	0.3	0	1726152	145567
RESPICAT_MAG_000065	RESPICAT_MAG_000065.fna	RESPICAT_RT_B07_Multi_batch_SRR13340954_MAG086.fasta	RT_B07_Multi_batch	MAG086	Bacteria	Actinomycetota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Corynebacterium	Corynebacterium sp001807485	FALSE	99.21	0.3	0	2229243	407412
RESPICAT_MAG_000066	RESPICAT_MAG_000066.fna	RESPICAT_RT_B07_Multi_batch_SRR13340954_MAG087.fasta	RT_B07_Multi_batch	MAG087	Bacteria	Actinomycetota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Corynebacterium	NA	TRUE	97.41	0	0	2362733	267236
RESPICAT_MAG_000067	RESPICAT_MAG_000067.fna	RESPICAT_RT_B07_Multi_batch_SRR13340954_MAG088.fasta	RT_B07_Multi_batch	MAG088	Bacteria	Actinomycetota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Corynebacterium	Corynebacterium aurimucosum_E	FALSE	99.78	0.22	0	2310784	78906
RESPICAT_MAG_000068	RESPICAT_MAG_000068.fna	RESPICAT_RT_B07_Multi_batch_SRR13340954_MAG089.fasta	RT_B07_Multi_batch	MAG089	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Shuttleworthia	Shuttleworthia satelles	FALSE	98.74	0.48	0	2182976	156399
RESPICAT_MAG_000069	RESPICAT_MAG_000069.fna	RESPICAT_RT_B07_Multi_batch_SRR13340954_MAG090.fasta	RT_B07_Multi_batch	MAG090	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp013333935	FALSE	98.24	1.3	16.67	2448526	39059
RESPICAT_MAG_000070	RESPICAT_MAG_000070.fna	RESPICAT_RT_B07_Multi_batch_SRR13340954_MAG091.fasta	RT_B07_Multi_batch	MAG091	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Actinomycetaceae	Pauljensenia	Pauljensenia sp000466265	FALSE	100	0.71	0	2394030	74663
RESPICAT_MAG_000071	RESPICAT_MAG_000071.fna	RESPICAT_RT_B07_Multi_batch_SRR13340954_MAG094.fasta	RT_B07_Multi_batch	MAG094	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	Lacticaseibacillus rhamnosus	FALSE	99.35	0	0	2916888	181545
RESPICAT_MAG_000072	RESPICAT_MAG_000072.fna	RESPICAT_RT_B07_Multi_batch_SRR13340954_MAG095.fasta	RT_B07_Multi_batch	MAG095	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus acidophilus	FALSE	98.94	0	0	1944039	167573
RESPICAT_MAG_000073	RESPICAT_MAG_000073.fna	RESPICAT_RT_B07_Multi_batch_SRR13340958_MAG024.fasta	RT_B07_Multi_batch	MAG024	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Actinomycetaceae	Pauljensenia	Pauljensenia radingae_A	FALSE	98.82	0.95	0	2282643	189667
RESPICAT_MAG_000074	RESPICAT_MAG_000074.fna	RESPICAT_RT_B07_Multi_batch_SRR13340965_MAG034.fasta	RT_B07_Multi_batch	MAG034	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella aerogenes	FALSE	98.81	0.22	0	5197821	168103
RESPICAT_MAG_000075	RESPICAT_MAG_000075.fna	RESPICAT_RT_B07_Multi_batch_SRR13340968_MAG021.fasta	RT_B07_Multi_batch	MAG021	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis	FALSE	99.63	0	0	2744375	164620
RESPICAT_MAG_000076	RESPICAT_MAG_000076.fna	RESPICAT_RT_B07_Multi_batch_SRR13340968_MAG099.fasta	RT_B07_Multi_batch	MAG099	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus oralis_H	FALSE	99.87	0.27	0	1954665	178554
RESPICAT_MAG_000077	RESPICAT_MAG_000077.fna	RESPICAT_RT_B07_Multi_batch_SRR13340979_MAG005.fasta	RT_B07_Multi_batch	MAG005	Bacteria	Actinomycetota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Corynebacterium	Corynebacterium amycolatum_A	FALSE	100	0	0	2481800	111598
RESPICAT_MAG_000078	RESPICAT_MAG_000078.fna	RESPICAT_RT_B07_Multi_batch_SRR13340979_MAG067.fasta	RT_B07_Multi_batch	MAG067	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Lancefieldella	Lancefieldella rimae	FALSE	100	0	0	1668862	328234
RESPICAT_MAG_000079	RESPICAT_MAG_000079.fna	RESPICAT_RT_B07_Multi_batch_SRR13340979_MAG096.fasta	RT_B07_Multi_batch	MAG096	Bacteria	Actinomycetota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Corynebacterium	Corynebacterium striatum	FALSE	99.67	0.09	0	2692047	152050
RESPICAT_MAG_000080	RESPICAT_MAG_000080.fna	RESPICAT_RT_B07_Multi_batch_SRR13340979_MAG102.fasta	RT_B07_Multi_batch	MAG102	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus lugdunensis	FALSE	98.47	1.14	0	2552417	193057
RESPICAT_MAG_000081	RESPICAT_MAG_000081.fna	RESPICAT_RT_B07_Multi_batch_SRR13340979_MAG103.fasta	RT_B07_Multi_batch	MAG103	Bacteria	Bacillota_A	Clostridia	Tissierellales	Peptoniphilaceae	Finegoldia	Finegoldia magna_H	FALSE	98.17	0	0	1690929	161057
RESPICAT_MAG_000082	RESPICAT_MAG_000082.fna	RESPICAT_RT_B07_Multi_batch_SRR13340979_MAG105.fasta	RT_B07_Multi_batch	MAG105	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Actinomycetaceae	Gleimia	Gleimia europaea_A	FALSE	98.23	0.52	0	1985861	40440
RESPICAT_MAG_000083	RESPICAT_MAG_000083.fna	RESPICAT_RT_B07_Multi_batch_SRR13340979_MAG106.fasta	RT_B07_Multi_batch	MAG106	Bacteria	Bacillota_A	Clostridia	Tissierellales	Peptoniphilaceae	Anaerococcus	NA	TRUE	99.39	0	0	1784411	92310
